timestamp px py pz qx qy qz qw
1532199897.306899309 1.093244815 2.211598632 4.832797841 -0.240946675 -0.305072479 -0.026597341 0.920960403
1532199897.504340410 1.081837559 2.225176499 4.863299031 -0.241124599 -0.323674367 -0.037039928 0.914178252
1532199897.555235147 1.079933253 2.226529851 4.870468639 -0.239289247 -0.327979756 -0.040167464 0.912993160
1532199897.604106903 1.076562835 2.229395835 4.879179957 -0.236992536 -0.332211271 -0.043094585 0.911928213
1532199897.903333902 1.055287847 2.245583760 4.913497421 -0.220215762 -0.367182180 -0.051737182 0.902222549
1532199897.952150345 1.052734222 2.247234332 4.919031270 -0.219113585 -0.372318950 -0.051354278 0.900405783
1532199898.051884413 1.050735772 2.252933076 4.930766526 -0.218021139 -0.380989470 -0.049940474 0.897117471
1532199898.100722313 1.053602871 2.253353637 4.936322353 -0.217355335 -0.384479742 -0.049547688 0.895810813
1532199898.200441599 1.051913897 2.259578740 4.950316886 -0.216605294 -0.390446024 -0.049334699 0.893420470
1532199898.349031210 1.044725299 2.264575734 4.957577047 -0.217584670 -0.400831061 -0.048979100 0.888590130
1532199898.597357512 1.033026427 2.272448734 4.989106410 -0.219831571 -0.420197159 -0.038599073 0.879555876
1532199898.747958899 1.027972247 2.277191712 5.008050638 -0.216591818 -0.428224318 -0.031151528 0.876779049
1532199899.144875050 1.018900557 2.299807912 5.046009220 -0.209667369 -0.455988307 -0.018995045 0.864727383
1532199899.293488026 1.018729853 2.316482874 5.066025049 -0.208179143 -0.464624246 -0.019095754 0.860477255
1532199899.541623831 1.017160428 2.348434911 5.106305571 -0.208289655 -0.471441507 -0.025565521 0.856565659
1532199899.692150593 1.013336001 2.369654288 5.133312139 -0.209060733 -0.474079176 -0.031126703 0.854736026
1532199900.188500643 1.004799749 2.415119531 5.197262688 -0.204796845 -0.486773842 -0.054776302 0.847413143
1532199900.634017706 1.008716439 2.462535428 5.265237201 -0.216830077 -0.479550186 -0.067048074 0.847656117
1532199900.981975555 1.008137269 2.497364308 5.320780532 -0.232045432 -0.467407929 -0.074599305 0.849776258
1532199901.132510662 1.003306060 2.511824241 5.345469063 -0.235226644 -0.464058249 -0.078367354 0.850398098
1532199901.825818062 0.946788600 2.502302251 5.429871626 -0.208130180 -0.495571445 -0.090322309 0.838410789
1532199902.025070906 0.923954271 2.490841750 5.443928838 -0.198780812 -0.506456833 -0.084810604 0.834742372
1532199902.224397898 0.909221114 2.486862134 5.452647805 -0.201042391 -0.515630337 -0.086205414 0.828417732
