Left [ns] , Right [ns] , Common [ns]
1579097800683371200,1579097800683453200,1579097800683412224
1579097800748509600,1579097800748591600,1579097800748550656
1579097800815682300,1579097800815764200,1579097800815723264
1579097800882843100,1579097800882925000,1579097800882884096
1579097800947982100,1579097800948064000,1579097800948023040
1579097801015140600,1579097801015222500,1579097801015181568
1579097801082295100,1579097801082377100,1579097801082336000
1579097801149499600,1579097801149581500,1579097801149540608
1579097801214606100,1579097801214688000,1579097801214647040
1579097801281808200,1579097801281890200,1579097801281849088
1579097801348968100,1579097801349050100,1579097801349009152
1579097801414112000,1579097801414193900,1579097801414152960
1579097801481273400,1579097801481355300,1579097801481314304
1579097801548432700,1579097801548514700,1579097801548473600
1579097801615598600,1579097801615680600,1579097801615639552
1579097801680746300,1579097801680828200,1579097801680787200
1579097801747910700,1579097801747992700,1579097801747951616
1579097801815079000,1579097801815161000,1579097801815119872
1579097801880229700,1579097801880311700,1579097801880270592
1579097801947412400,1579097801947494300,1579097801947453440
1579097802014575100,1579097802014657100,1579097802014616064
1579097802081778500,1579097802081860500,1579097802081819392
1579097802146889300,1579097802146971300,1579097802146930176
1579097802214085200,1579097802214167200,1579097802214126080
1579097802281245600,1579097802281327600,1579097802281286656
1579097802346382500,1579097802346464500,1579097802346423552
1579097802413539500,1579097802413621500,1579097802413580544
1579097802480691600,1579097802480773600,1579097802480732672
1579097802547858100,1579097802547940100,1579097802547899136
1579097802613009800,1579097802613091800,1579097802613050880
1579097802680176400,1579097802680258400,1579097802680217344
1579097802747325300,1579097802747407300,1579097802747366400
1579097802812463400,1579097802812545400,1579097802812504320
1579097802879622500,1579097802879704500,1579097802879663616
1579097802946773200,1579097802946855300,1579097802946814208
1579097803013973000,1579097803014055100,1579097803014013952
1579097803079085500,1579097803079167500,1579097803079126528
1579097803146294400,1579097803146376400,1579097803146335488
1579097803213458200,1579097803213540300,1579097803213499136
1579097803278597400,1579097803278679400,1579097803278638336
1579097803345763200,1579097803345845200,1579097803345804288
1579097803412915200,1579097803412997200,1579097803412956160
1579097803480073800,1579097803480155800,1579097803480114688
1579097803545220200,1579097803545302300,1579097803545261312
1579097803612384900,1579097803612467000,1579097803612425984
1579097803679540200,1579097803679622200,1579097803679581184
1579097803744678300,1579097803744760400,1579097803744719360
1579097803811846600,1579097803811928600,1579097803811887616
1579097803879004300,1579097803879086400,1579097803879045376
1579097803946192100,1579097803946274100,1579097803946233088
1579097804011294800,1579097804011376900,1579097804011335936
1579097804078494100,1579097804078576200,1579097804078535168
1579097804145666000,1579097804145748100,1579097804145707008
1579097804210815800,1579097804210897900,1579097804210856960
1579097804277972900,1579097804278055000,1579097804278013952
1579097804345137000,1579097804345219000,1579097804345178112
1579097804412300400,1579097804412382500,1579097804412341504
1579097804477440700,1579097804477522800,1579097804477481728
1579097804544605700,1579097804544687800,1579097804544646656
1579097804611774700,1579097804611856800,1579097804611815680
1579097804676926800,1579097804677008900,1579097804676967936
1579097804744090000,1579097804744172100,1579097804744131072
1579097804811255800,1579097804811337900,1579097804811296768
1579097804878455100,1579097804878537300,1579097804878496256
1579097804943570200,1579097804943652300,1579097804943611136
1579097805010771800,1579097805010854000,1579097805010812928
1579097805077915800,1579097805077997900,1579097805077956864
1579097805143054000,1579097805143136200,1579097805143095040
